@relation 'bank-training-weka.filters.unsupervised.attribute.Add-TNOM-Nemployed-LYes,No-C2-W1.0-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A1-3-NYes-R45.0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.attribute.NumericToNominal-R6,8'

@attribute id {ID12101,ID12102,ID12103,ID12104,ID12105,ID12106,ID12107,ID12108,ID12109,ID12110,ID12111,ID12112,ID12113,ID12114,ID12115,ID12116,ID12117,ID12118,ID12119,ID12120,ID12121,ID12122,ID12123,ID12124,ID12125,ID12126,ID12127,ID12128,ID12129,ID12130,ID12131,ID12132,ID12133,ID12134,ID12135,ID12136,ID12137,ID12138,ID12139,ID12140,ID12141,ID12142,ID12143,ID12144,ID12145,ID12146,ID12147,ID12148,ID12149,ID12150,ID12151,ID12152,ID12153,ID12154,ID12155,ID12156,ID12157,ID12158,ID12159,ID12160,ID12161,ID12162,ID12163,ID12164,ID12165,ID12166,ID12167,ID12168,ID12169,ID12170,ID12171,ID12172,ID12173,ID12174,ID12175,ID12176,ID12177,ID12178,ID12179,ID12180,ID12181,ID12182,ID12183,ID12184,ID12185,ID12186,ID12187,ID12188,ID12189,ID12190,ID12191,ID12192,ID12193,ID12194,ID12195,ID12196,ID12197,ID12198,ID12199,ID12200,ID12201,ID12202,ID12203,ID12204,ID12205,ID12206,ID12207,ID12208,ID12209,ID12210,ID12211,ID12212,ID12213,ID12214,ID12215,ID12216,ID12217,ID12218,ID12219,ID12220,ID12221,ID12222,ID12223,ID12224,ID12225,ID12226,ID12227,ID12228,ID12229,ID12230,ID12231,ID12232,ID12233,ID12234,ID12235,ID12236,ID12237,ID12238,ID12239,ID12240,ID12241,ID12242,ID12243,ID12244,ID12245,ID12246,ID12247,ID12248,ID12249,ID12250,ID12251,ID12252,ID12253,ID12254,ID12255,ID12256,ID12257,ID12258,ID12259,ID12260,ID12261,ID12262,ID12263,ID12264,ID12265,ID12266,ID12267,ID12268,ID12269,ID12270,ID12271,ID12272,ID12273,ID12274,ID12275,ID12276,ID12277,ID12278,ID12279,ID12280,ID12281,ID12282,ID12283,ID12284,ID12285,ID12286,ID12287,ID12288,ID12289,ID12290,ID12291,ID12292,ID12293,ID12294,ID12295,ID12296,ID12297,ID12298,ID12299,ID12300,ID12301,ID12302,ID12303,ID12304,ID12305,ID12306,ID12307,ID12308,ID12309,ID12310,ID12311,ID12312,ID12313,ID12314,ID12315,ID12316,ID12317,ID12318,ID12319,ID12320,ID12321,ID12322,ID12323,ID12324,ID12325,ID12326,ID12327,ID12328,ID12329,ID12330,ID12331,ID12332,ID12333,ID12334,ID12335,ID12336,ID12337,ID12338,ID12339,ID12340,ID12341,ID12342,ID12343,ID12344,ID12345,ID12346,ID12347,ID12348,ID12349,ID12350,ID12351,ID12352,ID12353,ID12354,ID12355,ID12356,ID12357,ID12358,ID12359,ID12360,ID12361,ID12362,ID12363,ID12364,ID12365,ID12366,ID12367,ID12368,ID12369,ID12370,ID12371,ID12372,ID12373,ID12374,ID12375,ID12376,ID12377,ID12378,ID12379,ID12380,ID12381,ID12382,ID12383,ID12384,ID12385,ID12386,ID12387,ID12388,ID12389,ID12390,ID12391,ID12392,ID12393,ID12394,ID12395,ID12396,ID12397,ID12398,ID12399,ID12400,ID12401,ID12402,ID12403,ID12404,ID12405,ID12406,ID12407,ID12408,ID12409,ID12410,ID12411,ID12412,ID12413,ID12414,ID12415,ID12416,ID12417,ID12418,ID12419,ID12420,ID12421,ID12422,ID12423,ID12424,ID12425,ID12426,ID12427,ID12428,ID12429,ID12430,ID12431,ID12432,ID12433,ID12434,ID12435,ID12436,ID12437,ID12438,ID12439,ID12440,ID12441,ID12442,ID12443,ID12444,ID12445,ID12446,ID12447,ID12448,ID12449,ID12450,ID12451,ID12452,ID12453,ID12454,ID12455,ID12456,ID12457,ID12458,ID12459,ID12460,ID12461,ID12462,ID12463,ID12464,ID12465,ID12466,ID12467,ID12468,ID12469,ID12470,ID12471,ID12472,ID12473,ID12474,ID12475,ID12476,ID12477,ID12478,ID12479,ID12480,ID12481,ID12482,ID12483,ID12484,ID12485,ID12486,ID12487,ID12488,ID12489,ID12490,ID12491,ID12492,ID12493,ID12494,ID12495,ID12496,ID12497,ID12498,ID12499,ID12500,ID12501,ID12502,ID12503,ID12504,ID12505,ID12506,ID12507,ID12508,ID12509,ID12510,ID12511,ID12512,ID12513,ID12514,ID12515,ID12516,ID12517,ID12518,ID12519,ID12520,ID12521,ID12522,ID12523,ID12524,ID12525,ID12526,ID12527,ID12528,ID12529,ID12530,ID12531,ID12532,ID12533,ID12534,ID12535,ID12536,ID12537,ID12538,ID12539,ID12540,ID12541,ID12542,ID12543,ID12544,ID12545,ID12546,ID12547,ID12548,ID12549,ID12550,ID12551,ID12552,ID12553,ID12554,ID12555,ID12556,ID12557,ID12558,ID12559,ID12560,ID12561,ID12562,ID12563,ID12564,ID12565,ID12566,ID12567,ID12568,ID12569,ID12570,ID12571,ID12572,ID12573,ID12574,ID12575,ID12576,ID12577,ID12578,ID12579,ID12580,ID12581,ID12582,ID12583,ID12584,ID12585,ID12586,ID12587,ID12588,ID12589,ID12590,ID12591,ID12592,ID12593,ID12594,ID12595,ID12596,ID12597,ID12598,ID12599,ID12600,ID12601,ID12602,ID12603,ID12604,ID12605,ID12606,ID12607,ID12608,ID12609,ID12610,ID12611,ID12612,ID12613,ID12614,ID12615,ID12616,ID12617,ID12618,ID12619,ID12620,ID12621,ID12622,ID12623,ID12624,ID12625,ID12626,ID12627,ID12628,ID12629,ID12630,ID12631,ID12632,ID12633,ID12634,ID12635,ID12636,ID12637,ID12638,ID12639,ID12640,ID12641,ID12642,ID12643,ID12644,ID12645,ID12646,ID12647,ID12648,ID12649,ID12650,ID12651,ID12652,ID12653,ID12654,ID12655,ID12656,ID12657,ID12658,ID12659,ID12660,ID12661,ID12662,ID12663,ID12664,ID12665,ID12666,ID12667,ID12668,ID12669,ID12670,ID12671,ID12672,ID12673,ID12674,ID12675,ID12676,ID12677,ID12678,ID12679,ID12680,ID12681,ID12682,ID12683,ID12684,ID12685,ID12686,ID12687,ID12688,ID12689,ID12690,ID12691,ID12692}
@attribute employed {Yes,No}
@attribute age numeric
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {5014.21,6294.21,7304.2,7549.38,7606.25,7723.93,7756.36,7948.62,8020.19,8062.73,8143.75,8162.42,8562.86,8639.24,8877.07,9316.98,9362.58,9465.21,9485.84,9516.91,9589.91,9592.73,9824.37,9909.82,9990.11,10044.1,10072.6,10191.8,10441.9,10629.1,10672,10861,10953,11043.7,11073,11215.3,11281.5,11299.3,11411,11520.8,11536.2,11595.4,11601.4,11604.4,11700.4,11736.9,11866.4,11920.7,12117.3,12125.8,12163.9,12166.9,12178.5,12279.5,12533.2,12549,12591.4,12623.4,12640.3,12644.9,12681.9,12683.6,12764.8,12810.2,12823.7,12977.2,13039.9,13106.6,13175.5,13236.4,13267.6,13283.9,13327.8,13381,13519.2,13667.7,13700.2,13739,13740,13864.6,13950.4,14014.5,14048.9,14058.5,14064.9,14092.7,14136.5,14290.5,14309.7,14388.6,14433.4,14505.3,14511.8,14585.9,14606.6,14627.9,14642.2,14724.5,14960.2,14996.4,15109.4,15143.8,15156.2,15237.6,15254.8,15281.8,15308.2,15315.3,15348.9,15349.6,15417.1,15499.9,15525,15538.8,15610.2,15689.1,15735.8,15797.1,15848.7,15933.3,16088.8,16109.9,16249.8,16259.7,16291,16325.8,16352.2,16394.4,16398.8,16403.8,16479.5,16497.3,16518.6,16575.4,16625.9,16662.5,16672.8,16711.3,16716.1,16849.3,16977.3,17139.5,17149.2,17180.2,17239.5,17240.6,17247.7,17270.1,17308.7,17364.8,17371.1,17390.1,17546,17610.3,17655,17729.8,17839.9,17861,17866.9,17867.3,17882.9,17921.8,17944.2,17986.8,18036.7,18050,18067.5,18158.5,18184.6,18275.5,18364.9,18504.3,18516,18555.9,18565.8,18707.3,18802.4,18860.3,18875.7,18912.2,18923,19012.8,19160.3,19166,19326.9,19403.1,19416.8,19474.6,19481.3,19563.8,19726.3,19868,19918.9,19968.1,20058.7,20114,20236.2,20262.6,20347,20375.4,20409.3,20467.3,20555,20708.5,20736.2,20754.3,20771.9,20799,20809.7,20819,20866.3,20950.7,21042,21096.2,21139.8,21184.7,21268.4,21332.3,21350.3,21384.4,21495.6,21506.2,21612.2,21612.6,21623.8,21730.3,21796.6,21821.4,21876.5,21951.3,21984,21984.4,22007.1,22052.1,22053.2,22110.1,22197.1,22234.7,22327.8,22342.1,22362.3,22366.1,22400.7,22446.5,22495.7,22522.8,22562.2,22678.1,22791.4,22792.3,22848.5,22882.9,22916.1,22942.9,23038.2,23092.1,23124.9,23171.8,23175,23197.5,23246.4,23287.9,23337.2,23356.1,23371,23443.2,23475.6,23485.9,23528.4,23638.1,23818.6,23894.8,24026.1,24027.6,24031.5,24042,24071.8,24212.1,24262.8,24270.1,24346.6,24424.3,24474.1,24477.5,24554.1,24583.4,24607.8,24675.7,24760.8,24763.3,24814.5,24823.5,24858.4,24867.6,24888.2,24904,24946.6,24977.5,25127.7,25132.9,25257.7,25304.3,25333.2,25334.3,25372.8,25391.5,25429.3,25468.5,25683.4,25699.4,25732.5,25768.6,25830.5,26077.8,26097.9,26106.7,26261.7,26281.4,26325.3,26462.5,26542.8,26658.8,26688.1,26707.5,26707.9,26774.2,26900.6,26909.2,26920.8,26948,26952.6,26999.4,27022.6,27045.1,27056.5,27417.6,27434.8,27571.5,27642.9,27712.9,27756.3,27757.6,27765.8,27808.1,27825.5,27863.9,28021.6,28138.5,28193.6,28240.4,28253.6,28409.4,28413.8,28421.7,28469.9,28495.1,28598.7,28658.3,28702.7,28864.9,28882.3,28920.6,28938.6,28969.4,28981.1,29093.1,29231.4,29359.1,29414.6,29525.5,29541.7,29574,29622,29625.1,29714.4,29794.1,29866.3,29866.9,29921.3,30067.5,30085.1,30099.3,30157.7,30189.4,30198.5,30396.1,30404.3,30488,30488.7,30658.7,30760.4,30799.5,30870.8,31095.6,31207.1,31273.8,31290.6,31334.8,31415.7,31473.9,31671.3,31683.1,31693.5,31774.1,31864.8,31982,32184.4,32245.4,32395.5,32548.9,32583.5,32669.9,32762.5,33007.3,33028.3,33088.5,33123.7,33204.3,33229,33302.8,33615.4,33630.6,33665.5,33886.4,34020.5,34061.4,34073.8,34182.2,34253.6,34410,34513.6,34524.9,34625.2,34836.8,34852.3,34866.5,34866.9,34892.9,35263.5,35610.5,36057.8,36086.1,36095.9,36166.2,36192.1,36256.9,36281,36432.8,36436.4,36589,36599,36646.4,36972.4,37094.2,37095.2,37162.1,37330.5,37389,37414.7,37521.9,37554.1,37558.5,37689.1,37706.5,37773.9,37850.6,37869.6,37930.9,38059.8,38080.9,38103.4,38248.3,38446.6,38453.7,38459.9,38540,38598.4,38784,39010.8,39175.8,39205.3,39253.6,39308.7,39358.3,39547.8,39666.6,39745.3,40949.9,40972.9,41016,41034,41107.2,41127.4,41438,41438.2,41462.3,41521.6,41558.1,41609.5,41627.1,42124.1,42173.9,42378.2,42579.1,42603.9,42628.3,43057,43228.2,43395.5,43499.5,43530,43719.5,43743.2,43799.6,43940.6,43943,44288.3,44658.6,44682.1,45031.9,45189.8,45342.5,45765,45856.1,46323.8,46358.4,46461.5,46587.9,46633,46870.4,46963.9,47198.6,47750.2,47796.8,47835.8,48346.1,48720.3,48770.5,48950.9,48971.6,48974.8,49024.9,49175.7,49456.7,49673.6,49874.4,49917.3,50186.1,50409.9,50474.6,50576.3,50849.2,50897.6,51204.2,51284.3,51299.3,51620.8,51879.3,52117.3,52255.9,52662.5,52670.6,52674,52769.9,53104.3,54314.5,54618.8,54863.8,55204.7,55263,55716.5,56031.1,56340.3,56394.3,56658.9,56842.5,57176.4,57398.1,57444.5,57671.7,57880.7,58092,58367.3,59175.1,59409.1,59503.8,59803.9,59805.6,60747.5,61554.6,63130.1}
@attribute married {YES,NO}
@attribute children {0,1,2,3}
@attribute car {YES,NO}
@attribute save_act {YES,NO}
@attribute current_act {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {YES,NO}

@data
ID12565,Yes,28,MALE,TOWN,20555,NO,0,YES,YES,YES,NO,YES
ID12566,Yes,57,FEMALE,TOWN,28421.7,YES,2,YES,YES,YES,YES,NO
ID12567,Yes,38,MALE,INNER_CITY,21876.5,YES,0,NO,NO,YES,NO,NO
ID12568,Yes,34,FEMALE,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,YES
ID12569,Yes,43,MALE,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,YES
ID12570,No,63,MALE,TOWN,37414.7,NO,3,YES,YES,YES,NO,NO
ID12571,No,62,FEMALE,INNER_CITY,41521.6,YES,0,NO,YES,YES,YES,NO
ID12572,Yes,51,FEMALE,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO,NO
ID12573,No,61,MALE,INNER_CITY,21139.8,YES,2,YES,YES,NO,NO,NO
ID12574,Yes,41,FEMALE,TOWN,27757.6,NO,0,NO,YES,YES,NO,YES
ID12575,Yes,31,FEMALE,TOWN,22678.1,NO,1,YES,YES,YES,YES,YES
ID12576,Yes,33,FEMALE,TOWN,12178.5,YES,2,NO,YES,YES,YES,NO
ID12577,Yes,43,MALE,RURAL,26106.7,NO,1,NO,NO,YES,NO,YES
ID12578,Yes,40,MALE,INNER_CITY,27417.6,YES,0,NO,YES,YES,YES,NO
ID12579,Yes,47,MALE,TOWN,23337.2,YES,2,NO,YES,YES,YES,NO
ID12580,Yes,46,MALE,TOWN,43395.5,NO,1,YES,YES,YES,NO,YES
ID12581,Yes,30,MALE,RURAL,11536.2,YES,2,NO,NO,YES,YES,NO
ID12582,Yes,47,MALE,INNER_CITY,44658.6,NO,2,YES,YES,YES,NO,YES
ID12583,Yes,44,MALE,RURAL,32762.5,NO,0,NO,YES,YES,YES,NO
ID12584,Yes,23,MALE,RURAL,16403.8,YES,0,YES,YES,NO,NO,NO
ID12585,Yes,28,FEMALE,INNER_CITY,21184.7,YES,1,YES,YES,YES,NO,YES
ID12586,No,64,FEMALE,INNER_CITY,49917.3,YES,0,YES,YES,YES,YES,NO
ID12587,Yes,35,FEMALE,TOWN,21623.8,YES,0,NO,YES,NO,YES,NO
ID12588,No,19,MALE,RURAL,16625.9,YES,1,NO,NO,YES,NO,YES
ID12589,Yes,27,FEMALE,TOWN,14014.5,YES,3,NO,YES,NO,NO,NO
ID12590,Yes,27,MALE,INNER_CITY,20409.3,YES,2,NO,YES,NO,NO,YES
ID12591,No,58,FEMALE,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES,YES
ID12592,Yes,46,FEMALE,TOWN,17149.2,NO,1,YES,YES,YES,NO,YES
ID12593,No,61,FEMALE,TOWN,27756.3,YES,0,YES,YES,NO,YES,YES
ID12594,No,59,MALE,INNER_CITY,40949.9,NO,0,NO,YES,YES,NO,YES
ID12595,Yes,47,FEMALE,RURAL,43743.2,YES,3,NO,YES,YES,NO,NO
ID12596,Yes,44,MALE,INNER_CITY,38459.9,YES,0,NO,NO,NO,YES,YES
ID12597,Yes,50,MALE,TOWN,40972.9,NO,2,YES,YES,YES,YES,YES
ID12598,No,64,MALE,INNER_CITY,46587.9,NO,0,NO,YES,YES,NO,YES
ID12599,Yes,51,FEMALE,TOWN,43799.6,NO,0,NO,YES,YES,YES,NO
ID12600,Yes,46,FEMALE,TOWN,18912.2,YES,0,YES,NO,YES,NO,YES
ID12601,Yes,39,FEMALE,INNER_CITY,27765.8,YES,3,YES,YES,NO,NO,NO
ID12602,No,58,FEMALE,INNER_CITY,33007.3,NO,1,YES,NO,YES,NO,YES
ID12603,Yes,32,FEMALE,TOWN,26325.3,YES,0,YES,NO,NO,NO,NO
ID12604,Yes,22,FEMALE,INNER_CITY,15308.2,NO,0,YES,YES,YES,YES,NO
ID12605,No,63,FEMALE,INNER_CITY,59805.6,YES,1,YES,YES,YES,NO,YES
ID12606,Yes,35,FEMALE,TOWN,28658.3,YES,0,YES,YES,YES,NO,NO
ID12607,No,59,FEMALE,INNER_CITY,23175,YES,0,NO,NO,NO,YES,YES
ID12608,Yes,22,FEMALE,SUBURBAN,11595.4,NO,0,YES,YES,YES,NO,YES
ID12609,No,60,MALE,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES,YES
ID12610,Yes,23,FEMALE,RURAL,11215.3,YES,2,YES,YES,YES,NO,YES
ID12611,Yes,29,FEMALE,TOWN,13327.8,YES,0,NO,YES,NO,NO,NO
ID12612,Yes,44,MALE,INNER_CITY,16088.8,YES,3,NO,YES,YES,NO,NO
ID12613,No,63,FEMALE,TOWN,43943,YES,0,YES,YES,YES,YES,NO
ID12614,Yes,25,FEMALE,RURAL,14505.3,NO,3,NO,YES,YES,NO,NO
ID12615,Yes,37,MALE,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,YES
ID12616,Yes,48,FEMALE,INNER_CITY,16662.5,YES,1,NO,YES,YES,NO,YES
ID12617,Yes,35,FEMALE,TOWN,20262.6,NO,0,NO,YES,NO,NO,YES
ID12618,Yes,51,MALE,TOWN,33615.4,YES,1,NO,YES,NO,YES,YES
ID12619,Yes,27,FEMALE,TOWN,22007.1,NO,3,NO,NO,YES,NO,NO
ID12620,Yes,56,FEMALE,INNER_CITY,28981.1,YES,3,YES,YES,YES,YES,NO
ID12621,Yes,38,FEMALE,INNER_CITY,12163.9,YES,2,YES,NO,YES,NO,YES
ID12622,Yes,36,FEMALE,TOWN,17247.7,YES,2,YES,YES,YES,NO,NO
ID12623,Yes,27,MALE,SUBURBAN,12683.6,NO,3,NO,YES,YES,YES,NO
ID12624,Yes,34,FEMALE,TOWN,16291,YES,0,YES,YES,NO,YES,NO
ID12625,Yes,44,MALE,SUBURBAN,18707.3,YES,0,YES,YES,YES,YES,YES
ID12626,Yes,43,FEMALE,INNER_CITY,19326.9,YES,1,NO,NO,YES,NO,YES
ID12627,Yes,32,MALE,INNER_CITY,14511.8,NO,2,NO,YES,NO,YES,NO
ID12628,Yes,21,FEMALE,TOWN,10672,NO,1,NO,YES,YES,YES,NO
ID12629,Yes,30,FEMALE,INNER_CITY,25830.5,YES,2,NO,NO,YES,NO,NO
ID12630,Yes,55,MALE,RURAL,43499.5,YES,1,YES,YES,YES,NO,NO
ID12631,No,64,MALE,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,YES
ID12632,Yes,36,FEMALE,INNER_CITY,27642.9,NO,1,YES,NO,NO,NO,YES
ID12633,No,59,MALE,INNER_CITY,30067.5,NO,1,NO,YES,YES,NO,YES
ID12634,No,60,MALE,INNER_CITY,29714.4,YES,0,YES,NO,YES,YES,YES
ID12635,Yes,27,FEMALE,TOWN,13950.4,NO,1,YES,YES,YES,YES,NO
ID12636,Yes,29,MALE,INNER_CITY,10072.6,YES,0,NO,NO,YES,NO,NO
ID12637,Yes,53,FEMALE,INNER_CITY,37850.6,NO,1,NO,YES,YES,NO,YES
ID12638,No,61,FEMALE,RURAL,57176.4,NO,2,NO,YES,YES,NO,YES
ID12639,Yes,43,FEMALE,INNER_CITY,38784,YES,0,NO,YES,YES,NO,NO
ID12640,No,19,MALE,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,YES
ID12641,Yes,48,FEMALE,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,YES
ID12642,Yes,39,MALE,RURAL,37389,YES,2,NO,YES,YES,NO,YES
ID12643,Yes,32,MALE,INNER_CITY,14627.9,YES,2,YES,YES,YES,NO,NO
ID12644,No,63,MALE,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,YES
ID12645,Yes,46,MALE,RURAL,21096.2,YES,1,YES,YES,YES,NO,YES
ID12646,Yes,40,MALE,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,YES
ID12647,Yes,27,FEMALE,INNER_CITY,15281.8,NO,0,YES,NO,NO,YES,YES
ID12648,Yes,22,MALE,SUBURBAN,9316.98,YES,2,YES,YES,YES,NO,NO
ID12649,Yes,42,MALE,RURAL,20736.2,YES,1,YES,YES,YES,NO,YES
ID12650,No,58,FEMALE,TOWN,52662.5,YES,1,YES,YES,YES,YES,YES
ID12651,Yes,23,FEMALE,INNER_CITY,8020.19,YES,1,YES,NO,YES,NO,NO
ID12652,No,58,MALE,SUBURBAN,32245.4,YES,3,NO,NO,NO,NO,NO
ID12653,Yes,45,MALE,INNER_CITY,41107.2,YES,2,YES,YES,YES,NO,NO
ID12654,Yes,49,FEMALE,SUBURBAN,39358.3,YES,0,YES,NO,NO,YES,NO
ID12655,No,67,FEMALE,INNER_CITY,36095.9,YES,3,YES,YES,YES,NO,NO
ID12656,No,20,FEMALE,TOWN,7723.93,YES,2,YES,YES,YES,NO,NO
ID12657,Yes,43,FEMALE,RURAL,18565.8,YES,1,YES,YES,YES,YES,YES
ID12658,Yes,41,MALE,RURAL,25132.9,YES,0,NO,NO,YES,NO,NO
ID12659,Yes,38,FEMALE,SUBURBAN,31290.6,YES,0,NO,YES,YES,NO,NO
ID12660,No,67,FEMALE,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,YES
ID12661,Yes,40,MALE,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,YES
ID12662,Yes,25,FEMALE,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,YES
ID12663,Yes,57,FEMALE,RURAL,50897.6,YES,0,NO,YES,YES,NO,NO
ID12664,Yes,32,FEMALE,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,YES
ID12665,Yes,44,MALE,SUBURBAN,23092.1,YES,0,YES,NO,YES,YES,YES
ID12666,Yes,30,MALE,TOWN,24867.6,YES,0,YES,YES,NO,NO,NO
ID12667,Yes,43,MALE,TOWN,22234.7,YES,0,NO,NO,YES,YES,NO
ID12668,No,19,FEMALE,INNER_CITY,17371.1,YES,2,YES,YES,YES,NO,NO
ID12669,Yes,37,FEMALE,TOWN,29574,YES,0,YES,YES,YES,NO,NO
ID12670,Yes,49,MALE,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,YES
ID12671,Yes,49,FEMALE,RURAL,33665.5,NO,3,YES,NO,YES,NO,NO
ID12672,Yes,40,MALE,INNER_CITY,36166.2,YES,0,NO,NO,NO,NO,NO
ID12673,Yes,33,FEMALE,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,YES
ID12674,Yes,39,MALE,TOWN,22400.7,YES,2,YES,YES,YES,NO,NO
ID12675,Yes,43,FEMALE,INNER_CITY,28469.9,YES,0,YES,YES,YES,NO,NO
ID12676,Yes,37,MALE,TOWN,30488,YES,0,NO,YES,YES,YES,NO
ID12677,Yes,24,FEMALE,TOWN,19160.3,YES,1,YES,YES,YES,NO,YES
ID12678,No,62,MALE,TOWN,45342.5,YES,0,YES,YES,NO,NO,YES
ID12679,No,18,MALE,INNER_CITY,6294.21,NO,0,NO,YES,YES,YES,NO
ID12680,Yes,47,FEMALE,TOWN,25127.7,YES,0,YES,NO,NO,NO,NO
ID12681,No,63,MALE,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,YES
ID12682,No,20,MALE,TOWN,12644.9,YES,2,YES,NO,YES,YES,NO
ID12683,Yes,46,FEMALE,TOWN,21984.4,NO,3,NO,YES,NO,NO,NO
ID12684,Yes,47,FEMALE,RURAL,29093.1,NO,2,YES,YES,YES,NO,NO
ID12685,Yes,33,MALE,TOWN,23528.4,YES,1,NO,YES,YES,YES,YES
ID12686,Yes,20,MALE,TOWN,9516.91,NO,3,YES,YES,YES,NO,NO
ID12687,Yes,20,MALE,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,YES
ID12688,Yes,43,FEMALE,TOWN,31273.8,NO,1,YES,YES,NO,NO,YES
ID12689,No,58,MALE,RURAL,49673.6,YES,0,NO,YES,YES,NO,NO
ID12690,Yes,29,MALE,SUBURBAN,12623.4,YES,1,YES,YES,YES,NO,NO
ID12691,Yes,25,MALE,INNER_CITY,23818.6,YES,0,NO,NO,NO,NO,NO
ID12692,Yes,40,FEMALE,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,YES
